temperature,rainfall,humidity
39,85,29
64,71,89
68,21,99
39,88,50
40,41,21
59,61,33
21,98,67
71,58,88
49,26,97
85,76,37
63,20,77
84,85,79
99,100,34
99,20,100
57,59,33
97,42,83
67,100,71
59,48,37
81,98,68
76,36,97
27,81,83
65,92,81
46,65,30
35,44,47
70,52,92
50,57,76
62,90,53
31,85,71
72,87,27
31,82,91
97,48,45
49,46,57
98,61,87
89,75,34
82,22,84
80,40,61
58,92,61
48,48,87
58,48,74
45,54,90
91,53,55
92,51,28
27,42,24
84,88,48
84,55,50
44,25,82
78,48,32
31,41,53
37,35,91
58,76,48
26,48,40
55,32,24
70,66,68
35,99,69
52,90,42
29,29,89
81,52,83
50,63,85
90,92,97
63,70,72
66,65,88
57,55,95
83,95,70
71,38,42
73,51,93
41,30,52
52,50,100
27,86,72
50,46,27
26,55,49
20,32,68
69,88,38
44,26,56
85,82,56
48,47,53
100,46,44
61,88,96
23,57,99
43,90,99
84,91,24
100,44,23
56,62,84
88,27,59
24,86,82
87,21,38
42,38,85
26,45,22
40,22,32
77,69,54
62,21,85
49,92,82
84,66,72
41,77,87
77,37,71
88,72,72
34,79,57
40,20,61
27,21,50
25,75,39
72,33,40
36,23,22
23,42,54
67,93,48
68,92,33
21,90,94
98,52,66
38,77,43
98,100,55
66,56,66
72,36,33
91,27,43
91,30,81
36,68,72
74,24,86
41,49,24
68,20,84
92,63,88
50,99,21
25,96,86
49,34,65
45,74,51
81,49,76
40,91,28
91,90,84
43,75,26
88,87,43
28,47,26
41,25,38
76,98,55
87,91,22
68,100,54
41,45,68
58,74,69
75,90,78
38,34,41
82,65,20
86,40,22
46,92,86
88,85,44
89,47,68
87,59,29
76,38,74
56,99,70
96,63,89
69,49,73
94,87,31
27,70,94
83,43,83
96,42,55
76,92,43
52,48,100
94,86,62
61,93,85
24,26,54
92,46,46
72,73,93
29,84,87
68,62,38
65,26,25
25,74,89
39,51,38
26,94,65
54,41,91
47,56,94
21,39,82
66,72,74
79,57,77
37,23,97
90,81,27
51,23,77
58,37,23
26,96,81
35,86,41
70,79,28
76,94,97
21,55,54
95,41,45
97,29,98
75,55,33
38,60,98
64,78,34
57,84,68
94,26,35
27,93,48
27,70,30
20,80,75
90,41,74
66,45,43
94,53,94
85,54,51
38,44,59
71,74,95
45,41,21
57,75,60
69,47,100
60,35,91
24,79,24
46,50,57
62,44,74
65,54,95
52,82,52
21,75,81
57,21,31
36,39,44
99,55,71
84,72,43
22,48,55
41,22,88
39,60,29
78,71,100
90,48,69
48,92,89
64,30,73
99,85,50
93,27,78
53,51,60
87,62,89
73,36,32
47,97,23
56,40,81
32,46,93
26,83,76
91,77,46
56,71,54
32,63,83
65,79,99
61,38,30
96,84,71
65,88,67
94,26,82
32,73,86
47,33,90
91,23,54
22,40,25
54,81,85
24,100,41
90,33,69
97,77,40
36,90,25
28,83,56
34,91,99
41,32,47
37,33,44
62,94,84
37,92,79
68,26,30
70,22,23
21,37,50
93,69,48
46,97,38
33,92,70
88,68,35
36,61,78
88,99,94
35,61,28
48,92,58
92,55,88
78,72,33
65,34,88
29,87,86
60,86,21
89,69,40
46,40,50
68,50,66
31,92,28
33,49,48
76,42,90
97,57,77
85,55,72
26,52,22
95,75,51
41,82,99
45,53,92
23,83,35
40,52,35
76,70,60
52,58,55
95,59,39
61,73,20
37,76,98
83,52,42
93,33,23
75,28,35
65,71,29
64,63,91
40,93,40
94,44,62
70,76,51
33,40,22
20,38,40
69,38,67
22,96,54
66,66,27
68,52,68
93,67,78
85,65,91
73,96,57
44,60,83
65,69,33
47,64,41
46,69,41
92,58,37
76,92,35
34,36,45
88,23,93
72,45,68
39,42,87
79,25,53
77,100,96
98,55,67
33,72,20
88,71,24
25,34,73
50,93,67
55,56,51
24,59,69
32,85,49
42,40,26
77,93,81
68,33,62
73,97,86
58,50,64
30,42,68
51,87,87
85,35,88
81,37,87
46,24,46
58,43,85
42,39,24
88,83,88
78,38,100
91,33,38
87,51,33
39,27,95
77,79,52
79,35,29
20,68,84
76,73,65
86,45,27
57,58,26
71,87,35
52,23,75
26,99,26
79,56,46
87,97,63
73,92,28
89,83,96
77,97,64
63,49,24
69,52,45
24,67,73
72,60,61
62,83,69
63,74,21
56,96,39
30,42,63
67,42,80
81,41,23
77,75,21
94,56,45
57,35,21
88,98,90
46,82,69
98,31,44
35,38,38
88,21,52
26,66,35
50,41,94
26,56,81
53,44,24
73,74,78
74,47,20
88,95,48
25,70,72
57,95,77
64,27,44
24,49,86
96,89,38
74,21,35
57,83,63
32,36,36
57,53,94
89,88,81
20,60,81
29,72,43
92,55,46
77,41,28
82,22,57
88,96,82
59,51,28
24,93,67
43,74,58
50,49,33
39,43,56
20,61,21
73,81,28
35,89,48
82,32,28
33,36,95
95,50,36
60,76,81
21,76,88
27,49,64
35,25,88
74,48,58
90,34,24
39,44,67
66,63,67
26,30,21
64,87,42
86,49,38
72,36,94
91,78,79
71,34,42
27,83,94
66,41,31
100,99,58
69,78,35
72,23,69
30,98,89
86,28,62
54,50,52
29,54,38
27,89,36
83,89,45
77,78,81
71,49,20
91,21,26
90,48,51
95,53,79
63,62,93
89,57,60
44,69,61
42,87,88
64,68,66
40,49,59
90,33,46
69,48,39
88,27,79
69,47,82
46,49,71
23,55,78
37,74,65
39,47,83
89,27,93
51,39,95
30,64,27
58,32,65
85,55,56
99,74,99
72,94,65
49,78,32
40,56,30
54,70,36
35,49,92
43,48,73
76,36,60
38,65,32
83,26,40
48,55,41
73,61,54
23,65,33
97,28,67
72,75,76
68,43,33
36,69,41
99,32,48
40,97,94
58,41,49
98,81,93
70,81,86
68,58,60
66,44,21
55,71,24
72,35,61
86,58,66
87,72,34
80,100,69
43,57,61
87,39,75
78,43,67
48,88,88
97,34,29
22,28,44
20,41,28
57,95,31
97,48,57
30,86,22
83,95,47
56,47,39
37,89,98
72,85,50
65,59,95
21,90,99
75,76,99
79,39,66
93,82,92
79,56,97
69,30,53
46,100,43
97,58,97
89,40,44
86,77,77
55,66,56
24,78,87
23,93,60
41,62,86
60,80,73
21,96,72
21,33,92
55,59,97
94,87,77
96,74,59
73,90,64
32,70,94
67,25,43
69,23,57
22,27,28
20,33,80
40,43,75
35,91,56
73,43,88
79,90,84
98,37,64
80,80,23
65,31,20
71,45,60
56,61,49
95,65,66
71,81,36
65,44,100
31,38,21
99,99,70
71,62,66
94,32,90
47,23,24
75,86,59
74,88,96
46,39,99
98,94,60
54,55,46
24,52,23
22,71,76
70,37,58
71,43,62
40,47,76
40,78,41
68,82,68
86,34,86
98,52,74
30,86,96
72,42,34
80,100,54
27,72,82
85,30,46
34,64,59
50,52,61
79,20,69
20,64,64
37,73,69
71,84,44
76,69,44
88,85,76
31,35,60
50,26,98
51,84,31
84,52,92
32,39,81
87,24,54
24,100,77
20,80,81
37,80,90
74,98,100
24,54,22
90,89,43
93,43,44
84,36,64
91,77,82
67,60,45
26,47,72
83,86,42
31,78,39
66,34,71
29,85,44
52,100,71
39,69,47
71,42,41
49,42,40
37,35,72
95,100,37
100,25,50
84,46,64
80,71,70
38,99,96
65,70,35
94,64,46
87,70,74
78,87,96
51,94,69
22,58,46
32,34,35
94,57,65
72,65,34
28,29,24
73,40,79
57,98,61
81,64,49
23,38,40
51,66,33
43,71,21
70,93,68
41,35,36
25,46,86
43,81,35
28,90,85
35,58,94
55,35,70
84,80,71
35,81,92
65,71,59
38,91,60
37,48,30
23,62,69
37,43,26
100,36,38
89,61,69
69,94,100
67,93,71
40,73,42
71,78,57
95,68,35
75,100,75
24,41,97
46,99,32
71,26,91
61,42,74
81,53,86
30,37,98
50,38,92
35,83,37
36,32,54
64,44,29
62,49,67
98,98,78
56,57,35
31,91,23
74,26,92
54,25,57
52,39,20
85,84,29
83,91,59
42,23,34
50,51,66
24,81,56
49,66,41
64,91,65
45,77,34
76,79,93
77,42,58
72,69,35
92,63,60
32,88,30
67,57,42
73,60,78
64,94,57
82,44,35
31,64,29
70,48,52
92,36,20
43,24,68
23,88,63
51,66,69
49,90,47
80,72,98
27,58,60
99,62,58
70,71,91
92,39,76
